Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo,Dataset
K-Means,0.0471 ± 0.0197,0.3543 ± 0.0003,-0.0013 ± 0.0001,2.5921 ± 0.0184,dataset_0.csv
K-Means,0.0306 ± 0.0105,0.4081 ± 0.0000,-0.0014 ± 0.0000,2.3925 ± 0.1473,dataset_1.csv
K-Means,0.0192 ± 0.0097,0.4898 ± 0.0000,0.2461 ± 0.0000,1.8127 ± 0.0004,dataset_2.csv
K-Means,0.0168 ± 0.0016,0.4845 ± 0.0000,0.2461 ± 0.0000,1.9329 ± 0.0000,dataset_3.csv
K-Means,0.0184 ± 0.0016,0.6429 ± 0.0000,0.7938 ± 0.0000,17.9606 ± 0.0000,dataset_4.csv
K-Means,0.0201 ± 0.0042,0.6341 ± 0.0000,0.9414 ± 0.0000,24.4613 ± 0.0000,dataset_5.csv
K-Means,0.0388 ± 0.0155,0.5034 ± 0.0000,0.5905 ± 0.0000,7.4021 ± 0.0024,dataset_6.csv
K-Means,0.0427 ± 0.0145,0.6420 ± 0.0000,0.9829 ± 0.0000,11.3476 ± 0.0000,dataset_7.csv
K-Means,0.0357 ± 0.0160,0.6844 ± 0.0000,0.9957 ± 0.0000,14.2793 ± 0.0000,dataset_8.csv
K-Means,0.0123 ± 0.0019,0.3646 ± 0.0000,0.0475 ± 0.0000,4.5288 ± 0.0000,dataset_9.csv
