feature_1,feature_2,target
3.384626060374759,-5.7213848127277105,1
3.299450697817319,-1.8635784808252258,0
9.407725302542612,-2.9154875782119265,2
3.0174284083908636,-2.561078297699019,0
3.7695931875449937,-3.363371803054293,0
1.727570629095672,-1.4841915193026174,0
2.622935886159811,-1.818736776330279,0
1.8553911862234325,-1.9869377939674493,0
3.641064290600037,-1.9805423434976563,0
8.425093005717438,-2.6568491390704723,2
4.480511981187691,-4.840987675044954,1
3.0561458515743567,-4.056814334111069,0
2.949512230384289,-3.063795248666758,0
9.628464928997452,-1.5133905379398302,2
3.1242242798006608,-2.9976309276343125,0
1.9583453190322817,-2.0183445838196303,0
8.854179801322521,-3.7781840282323933,2
9.737682850180821,-4.1169396413251,2
2.3367917341382403,-3.2349293984225787,0
3.418548451382784,-5.99350757242428,1
3.39881654664752,-7.221116665159695,1
9.005761887857503,-3.554882082437566,2
8.174247167036908,-3.8603276483334126,2
9.570327175774759,-1.954469026985026,2
9.051845896144176,-4.211898490886939,2
3.197264643605411,-1.9144308357747541,0
1.6839388330528031,-2.4852500099993486,0
3.6656472252294527,-4.178268109246473,0
4.064218787253351,-7.475126870612983,1
4.233472881852229,-5.967149794361981,1
11.115548081766455,-3.0595850022666284,2
3.4257514523288624,-5.974689190135349,1
4.381721914496114,-5.0819153260474135,1
1.3063803549382091,-6.893435825212039,1
3.456258413617682,-7.217427051690897,1
3.852766920994379,-5.18967410910829,1
5.635061096559178,-7.019722462929877,1
2.1512835170342224,-1.8657930615093723,0
8.722283924232519,-2.587244666681771,2
3.8759209740081664,-7.486319764487559,1
3.550673319533882,-6.29629277416025,1
3.5821884044223338,-7.066022690718408,1
3.1121578004831827,-3.7531893379342067,0
3.488896197137596,-5.754426785669549,1
10.33934143564759,-3.869403452623722,2
8.657148930579718,-2.898302726952197,2
1.4778735567597407,-6.369847218575504,1
9.336231165713977,-3.61675850688935,2
1.8494138347843252,-2.384695636752019,0
3.919257690486145,-6.055987372315645,1
10.20962477161765,-2.988086236170952,2
9.886682877739219,-0.3066113431496431,2
2.4451655539023887,-2.9793333446635524,0
2.880884675723313,-2.1738191951730723,0
3.267631377813011,-1.571992903601561,0
3.133644598190402,-6.452306111113713,1
2.861662973688591,-0.22409540440725806,0
2.4112974926869755,-1.079454341056575,0
10.724844872979363,-2.2293360395149406,2
2.917644208052113,-6.023299745852322,1
10.334569947422294,-2.0463946617118185,2
10.195009837338537,-1.724866940952637,2
7.84156963849201,-4.740374167269167,2
2.191553484039975,-0.7146869688849491,0
4.167426278765122,-8.048554515252361,1
4.099924228358246,-2.303686902415115,0
4.3916041032351085,-1.6416207758903076,0
8.335139596107943,-2.902951604427476,2
2.512115595719542,-6.418259740070437,1
2.473192895760912,-1.8076494786464798,0
2.607499039397388,-5.079416145181401,1
3.2208195844742376,-7.328838414575767,1
7.703396331886735,-2.2112677749006946,2
3.366227981041112,-6.584752107059467,1
3.6959277682867584,-5.521522055710588,1
