feature_1,feature_2,target
-3.542881355330448,-1.0330046644929411,1
-3.5187533865987417,0.3363812693746619,1
1.8416455768984763,0.8090884939363189,2
2.3349679793921543,0.33270341910066126,2
1.6685832040821424,0.1308248778714271,2
-5.538484470848202,-1.7031209067327637,1
-6.187128043717758,0.7201130628805917,1
-8.364679818890787,-3.9298954405648754,0
-5.104753812692806,-1.6229925013015858,1
2.7629034963060417,0.8813829232808228,2
-11.051961486711631,-3.5034302574752276,0
-3.5434244967715633,-0.5059276904792284,1
-7.060971567592254,-3.6108677266213824,0
-3.6914771785445692,0.6661664735717042,1
-3.0108259669000383,3.7751162635768334,1
1.3475796764447285,0.2256588055955856,2
-2.1741402291699696,-0.7904966442048934,1
2.0535119749148847,0.8942132219306969,2
-3.4328925248948634,1.7162370976795367,1
-3.414243710796543,-0.1436099931912547,1
-3.6285815585663563,1.999610247589082,1
-8.499396661085381,-4.048458640034825,0
1.5336461741644212,1.0518562538541585,2
-6.736065293239349,-7.202651499247032,0
-10.166412341974617,-4.876259273655058,0
-2.3069209188985984,1.9757144506189506,1
1.2777286848142322,-0.0427816814723776,2
-10.865093224992748,-4.713036361772445,0
3.6361574394092138,-0.24554098292643578,2
-7.353269687575263,-0.355257565803812,1
-7.20250477212749,0.6672964076364661,1
0.8748702360693998,-0.09292771311232417,2
2.4060225504783115,-0.7682042420296038,2
-6.414300585579687,-0.8182716144946164,1
-4.578827008365719,1.1433029590204895,1
-9.969905939607264,-3.5816348432457437,0
-9.87916196441885,-3.944893217356102,0
-4.824372973165899,0.3695248186260165,1
-8.479386779165424,-6.1298252161621125,0
-10.188468056051319,-6.53497128771498,0
1.9765136149297682,0.5998240099645039,2
-12.008217554901695,-5.474646152884444,0
-2.892821706810611,-0.3096932986100223,1
-12.327853558973224,-2.313872223038612,0
-9.051578284191303,-4.845771237980588,0
1.5547015933906974,0.2227036804597411,2
-2.427853419564919,1.1604347130066313,1
2.1246962484717518,1.5927021464680304,2
-3.2225686982917345,0.7629088579117231,1
-9.452677971151626,-7.1136638659747735,0
-9.486896753605087,-3.731479198255236,0
2.7290974724826933,0.049996547229963495,2
2.458984489336596,0.9178685218297334,2
1.0272545789488428,0.19035349082143171,2
-8.145033267265582,-11.226526267980606,0
-6.6071123693817935,-0.6104059847853295,1
2.1367122107178873,0.015371999702889827,2
-10.169428883647038,-2.951496816840581,0
1.9315670261427822,0.3489905892135504,2
1.6512443960066363,0.606300486890455,2
-5.4362001721077675,0.16021660193038217,1
-10.966199080417336,-6.641483424507111,0
1.9324082395192816,0.7117662680899597,2
-4.0410934031198975,0.6871166651817051,1
3.391922470001858,0.5117701426973222,2
-3.9696306709005817,-1.6298604249217945,1
-5.710222888229576,-3.3391643911866438,0
0.9135727155260249,0.09241470259968154,2
-4.323803506874091,0.23738183765639828,1
-8.32957796108673,-6.736043051493651,0
-7.130027673153481,-7.071676912370804,0
1.7113942166630898,-0.7069916933188582,2
-9.63791946122726,-5.817251848234314,0
-4.588200474929439,-1.9437834944175827,1
-6.364186753002816,-1.5193226806827398,1
-4.622388734742396,2.7602954663550263,1
2.3655507490207386,0.8256973951843962,2
-4.501905342673534,-7.047721361387884,0
1.7318873654622022,0.6477993984826482,2
-4.662414946939993,-2.3443064798968636,1
-7.822432695169608,-5.937808414992533,0
-5.795067693599557,2.2239446116132715,1
2.7721780658715955,-0.46473377397037263,2
1.9978461951773707,0.715999473215539,2
1.9213610442937137,1.1168457532641702,2
0.8124198772283986,0.14418252868626774,2
-9.137529666791565,-6.001763251441268,0
-7.348504772394575,-4.294878206036175,0
