Algoritmo,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
K-Centros 2,0.0005 ± 0.0001,0.6393 ± 0.0000,0.0158 ± 0.0000,156470.4476 ± 0.0000
K-Centros 2,0.0316 ± 0.0038,0.3350 ± 0.0000,-0.0090 ± 0.0000,0.9103 ± 0.0000
K-Centros 2,0.0005 ± 0.0001,0.8504 ± 0.0000,0.0368 ± 0.0000,6048.0000 ± 0.0000
K-Centros 2,0.0015 ± 0.0023,0.6819 ± 0.0000,0.0001 ± 0.0000,49.2138 ± 0.0000
K-Centros 2,0.0016 ± 0.0025,0.6819 ± 0.0000,0.0001 ± 0.0000,56.0000 ± 0.0000
K-Centros 2,0.0020 ± 0.0001,0.1024 ± 0.0000,0.0338 ± 0.0000,371.1860 ± 0.0000
K-Centros 2,0.0053 ± 0.0038,0.3886 ± 0.0000,0.0022 ± 0.0000,90.0000 ± 0.0000
K-Centros 2,0.0023 ± 0.0014,0.1081 ± 0.0000,0.0818 ± 0.0000,957.7717 ± 0.0000
K-Centros 2,0.0459 ± 0.0129,0.4233 ± 0.0000,0.0092 ± 0.0000,1.5500 ± 0.0000
K-Centros 2,0.0027 ± 0.0014,0.1242 ± 0.0000,0.0355 ± 0.0000,335.2357 ± 0.0000
K-Centros 2,0.0005 ± 0.0000,0.8504 ± 0.0000,0.0368 ± 0.0000,6000.0887 ± 0.0000
K-Centros 2,0.0027 ± 0.0011,0.1330 ± 0.0000,0.0296 ± 0.0000,596.0000 ± 0.0000
K-Centros 2,0.0005 ± 0.0001,0.6366 ± 0.0000,0.0131 ± 0.0000,114332.7300 ± 0.0000
K-Centros 2,0.0006 ± 0.0001,0.5459 ± 0.0000,-0.0019 ± 0.0000,562.8169 ± 0.0000
K-Centros 2,0.0006 ± 0.0000,0.5672 ± 0.0000,-0.0013 ± 0.0000,227.8358 ± 0.0000
K-Centros 2,0.0046 ± 0.0028,0.2909 ± 0.0000,-0.0069 ± 0.0000,60.9672 ± 0.0000
